time 	 iteration 	 error 
493608.4	 3	 0.000200759715
493608.4	 4	 0.0002007626978
493614.98	 1	 0.0002008748441
493614.98	 2	 0.0002008765281
493614.98	 3	 0.0002008773631
493614.98	 4	 0.0002008803696
493621.57	 1	 0.0002009936493
493621.57	 2	 0.000200995347
493621.57	 3	 0.0002009961896
493621.57	 4	 0.0002009992193
493628.18	 1	 0.0002011135051
493628.18	 2	 0.0002011152125
493628.18	 3	 0.0002011160608
493628.18	 4	 0.00020111911
493634.79	 1	 0.0002012345045
493634.79	 2	 0.0002012362253
493634.79	 3	 0.0002012370809
493634.79	 4	 0.0002012401525
493641.42	 1	 0.0002013565258
493641.42	 2	 0.0002013582558
493641.42	 3	 0.000201359117
493641.42	 4	 0.0002013622072
493648.06	 1	 0.0002014796646
493648.06	 2	 0.0002014814075
493648.06	 3	 0.0002014822757
493648.06	 4	 0.0002014853876
493654.71	 1	 0.0002016039172
493654.71	 2	 0.000201605673
493654.71	 3	 0.0002016065483
493654.71	 4	 0.0002016096814
493661.36	 1	 0.0002017291494
493661.36	 2	 0.0002017309139
493661.36	 3	 0.000201731794
493661.36	 4	 0.0002017349448
493668.04	 1	 0.0002018554604
493668.04	 2	 0.0002018572372
493668.04	 3	 0.0002018581242
493668.04	 4	 0.0002018612958
493674.72	 1	 0.0002019828474
493674.72	 2	 0.000201984636
493674.72	 3	 0.0002019855296
493674.72	 4	 0.0002019887217
493681.42	 1	 0.00020211117
493681.42	 2	 0.0002021129665
493681.42	 3	 0.0002021138649
493681.42	 4	 0.0002021170737
493688.12	 1	 0.0002022405318
493688.12	 2	 0.0002022423398
493688.12	 3	 0.0002022432447
493688.12	 4	 0.0002022464733
493694.85	 1	 0.0002023709284
493694.85	 2	 0.0002023727474
493694.85	 3	 0.0002023736588
493694.85	 4	 0.000202376907
493701.58	 1	 0.0002025023459
493701.58	 2	 0.0002025041758
493701.58	 3	 0.0002025050934
493701.58	 4	 0.0002025083607
493708.33	 1	 0.0002026346375
493708.33	 2	 0.0002026364738
493708.33	 3	 0.0002026373956
493708.33	 4	 0.0002026406778
493715.08	 1	 0.0002027679091
493715.08	 2	 0.0002027697557
493715.08	 3	 0.0002027706834
493715.08	 4	 0.0002027739835
493721.86	 1	 0.000202902154
493721.86	 2	 0.0002029040106
493721.86	 3	 0.0002029049442
493721.86	 4	 0.0002029082615
493728.64	 1	 0.0002030373555
493728.64	 2	 0.0002030392216
493728.64	 3	 0.0002030401609
493728.64	 4	 0.0002030434946
493735.45	 1	 0.0002031734955
493735.45	 2	 0.000203175371
493735.45	 3	 0.0002031763158
493735.45	 4	 0.0002031796653
493742.26	 1	 0.0002033105561
493742.26	 2	 0.0002033124406
493742.26	 3	 0.0002033133908
493742.26	 4	 0.0002033167556
493749.09	 1	 0.000203448519
493749.09	 2	 0.0002034504123
493749.09	 3	 0.0002034513678
493749.09	 4	 0.0002034547474
493755.93	 1	 0.0002035872245
493755.93	 2	 0.0002035891219
493755.93	 3	 0.0002035900805
493755.93	 4	 0.0002035934704
493762.79	 1	 0.0002037267838
493762.79	 2	 0.0002037286896
493762.79	 3	 0.0002037296532
493762.79	 4	 0.000203733057
493769.66	 1	 0.0002038671889
493769.66	 2	 0.0002038691027
493769.66	 3	 0.0002038700713
493769.66	 4	 0.0002038734885
493776.54	 1	 0.0002040084214
493776.54	 2	 0.0002040103431
493776.54	 3	 0.0002040113165
493776.54	 4	 0.0002040147465
493783.44	 1	 0.0002041504632
493783.44	 2	 0.0002041523926
493783.44	 3	 0.0002041533706
493783.44	 4	 0.0002041568129
493790.36	 1	 0.0002042932962
493790.36	 2	 0.000204295233
493790.36	 3	 0.0002042962156
493790.36	 4	 0.0002042996697
493797.29	 1	 0.0002044369025
493797.29	 2	 0.0002044388465
493797.29	 3	 0.0002044398336
493797.29	 4	 0.000204443299
493804.23	 1	 0.0002045812644
493804.23	 2	 0.0002045832153
493804.23	 3	 0.0002045842067
493804.23	 4	 0.000204587683
493811.19	 1	 0.0002047263641
493811.19	 2	 0.0002047283216
493811.19	 3	 0.0002047293172
493811.19	 4	 0.0002047328039
493818.17	 1	 0.0002048721837
493818.17	 2	 0.0002048741476
493818.17	 3	 0.0002048751473
493818.17	 4	 0.0002048786441
493825.16	 1	 0.0002050187059
493825.16	 2	 0.0002050206759
493825.16	 3	 0.0002050216796
493825.16	 4	 0.0002050251861
493832.17	 1	 0.0002051659128
493832.17	 2	 0.0002051678886
493832.17	 3	 0.0002051724054
493839.2	 1	 0.0002053137705
493839.2	 2	 0.0002053157491
493839.2	 3	 0.0002053202791
493846.24	 1	 0.0002054622602
493846.24	 2	 0.0002054642448
493846.24	 3	 0.0002054687875
493853.3	 1	 0.0002056113678
493853.3	 2	 0.000205613357
493853.3	 3	 0.0002056179113
493860.37	 1	 0.0002057610725
493860.37	 2	 0.0002057630662
493860.37	 3	 0.0002057676315
493867.46	 1	 0.0002059113559
493867.46	 2	 0.0002059133537
493867.46	 3	 0.0002059179288
493874.57	 1	 0.0002060623598
493874.57	 2	 0.0002060643663
493874.57	 3	 0.000206068958
493881.7	 1	 0.0002062139152
493881.7	 2	 0.0002062159255
493881.7	 3	 0.0002062205259
493888.85	 1	 0.0002063659909
493888.85	 2	 0.0002063680047
493888.85	 3	 0.0002063726133
493896.02	 1	 0.0002065185681
493896.02	 2	 0.0002065205849
493896.02	 3	 0.000206525201
493903.2	 1	 0.0002066716264
493903.2	 2	 0.000206673646
493903.2	 3	 0.0002066782691
493910.39	 1	 0.0002068251462
493910.39	 2	 0.0002068271681
493910.39	 3	 0.0002068317974
493917.61	 1	 0.0002069791059
493917.61	 2	 0.0002069811298
493917.61	 3	 0.000206985765
493924.84	 1	 0.0002071334842
493924.84	 2	 0.0002071355097
493924.84	 3	 0.0002071401501
493932.1	 1	 0.0002072884308
493932.1	 2	 0.0002072904625
493932.1	 3	 0.0002072951142
493939.38	 1	 0.0002074437628
493939.38	 2	 0.0002074457954
493939.38	 3	 0.000207450451
493946.67	 1	 0.0002075994465
493946.67	 2	 0.0002076014797
493946.67	 3	 0.0002076061384
493953.98	 1	 0.0002077554593
493953.98	 2	 0.000207757493
493953.98	 3	 0.0002077621543
493961.31	 1	 0.0002079117793
493961.31	 2	 0.0002079138133
493961.31	 3	 0.0002079184763
493968.65	 1	 0.0002080683838
493968.65	 2	 0.0002080704178
493968.65	 3	 0.0002080750823
493976.03	 1	 0.0002082254297
493976.03	 2	 0.0002082274686
493976.03	 3	 0.000208232141
