1.79798 1.2583 	9.87073e-08 	-5.7667e-05 	
1.81818 1.24596 	9.53562e-08 	-0.000139185 	
1.83838 1.23278 	9.18749e-08 	-0.000227125 	
1.85859 1.20885 	8.65171e-08 	-0.000266062 	
1.87879 1.17038 	7.86437e-08 	-0.000238701 	
1.89899 1.13191 	7.07703e-08 	-0.000211341 	
1.91919 1.02136 	5.81369e-08 	0.000378186 	
1.93939 0.907011 	4.52656e-08 	0.000997301 	
1.9596 0.684428 	3.11152e-08 	0.00106855 	
1.9798 0.342214 	1.55576e-08 	0.000534277 	
2 3.62401e-15 	-1.95259e-22 	5.2955e-18 	
