# Time	Cd	Cl	Cm
1618.726315	1.740872379	-3.179850744e-06	-8.617318278
1627.695211	1.741267951	-2.886683537e-06	-8.619276358
1636.664107	1.74170842	-3.153339917e-06	-8.621456677
1645.633002	1.742180465	-2.879300938e-06	-8.623793303
1654.601898	1.742696106	-2.898008207e-06	-8.626345726
1663.570794	1.742518248	-4.312418731e-06	-8.625465327
1672.539689	1.743163607	-2.228329118e-06	-8.628659856
1681.508585	1.743738875	-4.106572937e-06	-8.631507429
1690.477481	1.744201777	-2.853346066e-06	-8.633798794
1699.446377	1.744700458	-2.457949832e-06	-8.636267268
1708.415272	1.744871831	-3.210847048e-06	-8.637115566
1717.384168	1.744617918	-3.249259581e-06	-8.635858695
1726.353064	1.748015278	-4.500962489e-06	-8.652675628
1735.321959	1.749621139	-2.551620228e-06	-8.66062464
1744.290855	1.750945233	-3.267197774e-06	-8.667178902
1753.259751	1.750727306	-2.664942624e-06	-8.666100164
1762.228647	1.750495277	-2.798936655e-06	-8.664951623
1771.197542	1.751448992	-2.632473566e-06	-8.66967251
1780.166438	1.752362665	-2.81133674e-06	-8.674195193
1789.135334	1.753309358	-2.313039937e-06	-8.678881323
1798.104229	1.75428862	-2.495835801e-06	-8.683728669
1807.073125	1.755413762	-2.367197301e-06	-8.689298124
1816.016898	1.756524928	-2.503544211e-06	-8.694798391
1824.960671	1.758052154	-9.842633952e-07	-8.70235816
1833.904443	1.757832059	-3.63536695e-06	-8.701268692
1842.848216	1.758147979	-4.583671846e-06	-8.702832494
1851.791989	1.757976559	-1.965820842e-06	-8.701983966
1860.735762	1.759263644	-7.610163229e-07	-8.708355036
1869.679534	1.760298042	-4.19919393e-06	-8.713475305
1878.623307	1.761240148	-1.59199147e-06	-8.718138732
1887.56708	1.761943821	-2.417928489e-06	-8.721621912
1896.510853	1.762892194	-1.823505774e-06	-8.726316358
1905.454626	1.765273639	-2.069660334e-06	-8.738104512
1914.398398	1.766300402	-1.911731419e-06	-8.743186989
1923.342171	1.767316389	-2.124405704e-06	-8.748216125
1932.285944	1.768345429	-1.787531323e-06	-8.753309874
1941.229717	1.769393639	-1.512874172e-06	-8.758498514
1950.173489	1.770453915	-7.549730302e-07	-8.763746881
1959.117262	1.771439513	-4.276095938e-06	-8.76862559
1968.061035	1.772277036	-1.51801915e-06	-8.772771331
1977.004808	1.772104592	-2.55419558e-06	-8.771917731
1985.94858	1.775047615	-2.619935389e-06	-8.786485695
1994.892353	1.776306317	-9.980579601e-07	-8.792716269
2003.836126	1.777446972	-1.322054198e-06	-8.798362509
2012.779899	1.778573184	-2.052603893e-06	-8.803937262
2021.723671	1.779714459	-7.17286767e-07	-8.809586571
2030.667444	1.780879765	-3.089317724e-06	-8.815354837
2039.611217	1.782085597	-9.625586832e-07	-8.821323705
2048.55499	1.783390983	1.124777204e-07	-8.827785367
2057.498762	1.785153782	-1.876923962e-06	-8.836511222
2066.442535	1.785425104	-3.094048031e-06	-8.837854265
2075.386308	1.785844574	-1.390169984e-06	-8.839930643
2084.330081	1.786998038	-1.164287608e-06	-8.845640286
2093.273853	1.788152816	-1.521350617e-06	-8.85135644
2102.217626	1.78928834	-1.203164303e-06	-8.856977281
2111.161399	1.79045892	-1.317310718e-06	-8.862771655
2120.105172	1.791741827	-2.270291176e-07	-8.869122045
2129.048944	1.792961267	-1.47209459e-06	-8.875158271
2137.992717	1.794085998	-1.286843772e-06	-8.880725688
2146.93649	1.795209884	-1.195861066e-06	-8.886288925
2155.880263	1.796325552	-1.09170048e-06	-8.891811481
2164.824036	1.797430823	-1.053134003e-06	-8.897282574
2173.767808	1.79851382	-7.49777854e-07	-8.902643409
2182.711581	1.799576553	-1.028779254e-06	-8.907903936
2191.655354	1.800593951	-2.740241897e-07	-8.912940055
2200.599127	1.801547851	-1.335414466e-06	-8.917661864
2209.542899	1.802408399	-1.478466573e-07	-8.921921574
2218.486672	1.803104847	9.673809254e-08	-8.925368993
2227.430445	1.803521876	6.485600253e-07	-8.927433288
2236.345459	1.803344972	-3.536130041e-06	-8.926557609
2245.260474	1.808234633	-2.599294879e-06	-8.950761433
2254.175489	1.810597696	-1.815418943e-06	-8.962458595
2263.090503	1.816021049	-4.508667558e-06	-8.989304194
2272.005518	1.817509577	-1.665593788e-06	-8.996672405
2280.920533	1.818410217	-1.423401729e-06	-9.001130574
2289.835547	1.819532987	4.414454616e-06	-9.006688284
2298.750562	1.820698461	-2.049895357e-06	-9.01245738
2307.665577	1.821811806	5.421599137e-07	-9.017968442
2316.580591	1.822955991	-1.263855297e-06	-9.023632156
2325.495606	1.824135833	-8.373026397e-07	-9.029472376
2334.410621	1.825339546	-4.985069721e-07	-9.035430751
2343.325635	1.826577232	-4.445353087e-07	-9.041557301
2352.24065	1.827821998	-3.773734558e-07	-9.047718891
2361.155665	1.829562713	-1.399120492e-06	-9.056335431
2370.070679	1.830068691	2.243734516e-06	-9.05884002
2378.985694	1.831177145	3.411842275e-07	-9.064326865
2387.900708	1.832647462	1.030260703e-06	-9.071604936
2396.815723	1.833859369	3.160319218e-08	-9.077603877
2405.730738	1.835439047	-2.876169855e-07	-9.085423283
2414.645752	1.835928713	1.007971141e-07	-9.087847128
2423.560767	1.837138146	2.043493563e-07	-9.09383382
2432.475782	1.838210393	1.8230742e-07	-9.099141445
2441.390796	1.839089626	3.114999537e-07	-9.103493648
2450.305811	1.840050607	9.049311737e-09	-9.108250505
2459.220826	1.842514114	-4.555247045e-07	-9.120444862
2468.13584	1.844643251	5.431054819e-07	-9.130984094
2477.050855	1.845757607	5.646093927e-07	-9.136500156
2485.96587	1.846835419	5.474773657e-07	-9.141835323
2494.880884	1.84788053	3.671321447e-07	-9.147008624
2503.795899	1.849014285	1.307339677e-06	-9.15262071
2512.710914	1.85018294	5.910256398e-07	-9.158405552
2521.625928	1.851292316	7.184748516e-07	-9.163896966
